1955,tt0047749,The Lawrence Welk Show,(1955–1982),"
Family, Music            ",1,0,nm0270047,Don Fedderson,,,"executive producer (2 episodes, 1955)",male,[]
1961,tt0047749,The Lawrence Welk Show,(1955–1982),"
Family, Music            ",1,0,nm0811838,Ed Sobol,,,"producer (19 episodes, 1955-1962)",male,[]
1962,tt0047749,The Lawrence Welk Show,(1955–1982),"
Family, Music            ",1,0,nm1405546,James Hobson,"(70 episodes, 1955-1982)",,"producer (44 episodes, 1962-1982)",male,[]
1962,tt0047749,The Lawrence Welk Show,(1955–1982),"
Family, Music            ",1,0,nm1487377,Sam Lutz,,,"executive producer (45 episodes, 1955-1982)",mostly_male,[]
1962,tt0047749,The Lawrence Welk Show,(1955–1982),"
Family, Music            ",1,0,nm0811838,Ed Sobol,,,"producer (19 episodes, 1955-1962)",male,[]
1963,tt0047749,The Lawrence Welk Show,(1955–1982),"
Family, Music            ",1,0,nm0387695,Bill Hobin,"(1 episode, 1963)",,"producer (1 episode, 1963)",male,[]
1963,tt0047749,The Lawrence Welk Show,(1955–1982),"
Family, Music            ",1,0,nm1405546,James Hobson,"(70 episodes, 1955-1982)",,"producer (44 episodes, 1962-1982)",male,[]
1963,tt0047749,The Lawrence Welk Show,(1955–1982),"
Family, Music            ",1,0,nm1487377,Sam Lutz,,,"executive producer (45 episodes, 1955-1982)",mostly_male,[]
1964,tt0047749,The Lawrence Welk Show,(1955–1982),"
Family, Music            ",1,0,nm1405546,James Hobson,"(70 episodes, 1955-1982)",,"producer (44 episodes, 1962-1982)",male,[]
1964,tt0047749,The Lawrence Welk Show,(1955–1982),"
Family, Music            ",1,0,nm1487377,Sam Lutz,,,"executive producer (45 episodes, 1955-1982)",mostly_male,[]
1965,tt0047749,The Lawrence Welk Show,(1955–1982),"
Family, Music            ",1,0,nm1405546,James Hobson,"(70 episodes, 1955-1982)",,"producer (44 episodes, 1962-1982)",male,[]
1965,tt0047749,The Lawrence Welk Show,(1955–1982),"
Family, Music            ",1,0,nm1487377,Sam Lutz,,,"executive producer (45 episodes, 1955-1982)",mostly_male,[]
1966,tt0047749,The Lawrence Welk Show,(1955–1982),"
Family, Music            ",1,0,nm1405546,James Hobson,"(70 episodes, 1955-1982)",,"producer (44 episodes, 1962-1982)",male,[]
1966,tt0047749,The Lawrence Welk Show,(1955–1982),"
Family, Music            ",1,0,nm8861523,Sam Luiz,,,"executive producer (2 episodes, 1966-1967)",mostly_male,[]
1966,tt0047749,The Lawrence Welk Show,(1955–1982),"
Family, Music            ",1,0,nm1487377,Sam Lutz,,,"executive producer (45 episodes, 1955-1982)",mostly_male,[]
1967,tt0047749,The Lawrence Welk Show,(1955–1982),"
Family, Music            ",1,0,nm1405546,James Hobson,"(70 episodes, 1955-1982)",,"producer (44 episodes, 1962-1982)",male,[]
1967,tt0047749,The Lawrence Welk Show,(1955–1982),"
Family, Music            ",1,0,nm8861523,Sam Luiz,,,"executive producer (2 episodes, 1966-1967)",mostly_male,[]
1967,tt0047749,The Lawrence Welk Show,(1955–1982),"
Family, Music            ",1,0,nm1487377,Sam Lutz,,,"executive producer (45 episodes, 1955-1982)",mostly_male,[]
1968,tt0047749,The Lawrence Welk Show,(1955–1982),"
Family, Music            ",1,0,nm1405546,James Hobson,"(70 episodes, 1955-1982)",,"producer (44 episodes, 1962-1982)",male,[]
1968,tt0047749,The Lawrence Welk Show,(1955–1982),"
Family, Music            ",1,0,nm1487377,Sam Lutz,,,"executive producer (45 episodes, 1955-1982)",mostly_male,[]
1969,tt0047749,The Lawrence Welk Show,(1955–1982),"
Family, Music            ",1,0,nm1405546,James Hobson,"(70 episodes, 1955-1982)",,"producer (44 episodes, 1962-1982)",male,[]
1969,tt0047749,The Lawrence Welk Show,(1955–1982),"
Family, Music            ",1,0,nm1487377,Sam Lutz,,,"executive producer (45 episodes, 1955-1982)",mostly_male,[]
1970,tt0047749,The Lawrence Welk Show,(1955–1982),"
Family, Music            ",1,0,nm1405546,James Hobson,"(70 episodes, 1955-1982)",,"producer (44 episodes, 1962-1982)",male,[]
1970,tt0047749,The Lawrence Welk Show,(1955–1982),"
Family, Music            ",1,0,nm1487377,Sam Lutz,,,"executive producer (45 episodes, 1955-1982)",mostly_male,[]
1971,tt0047749,The Lawrence Welk Show,(1955–1982),"
Family, Music            ",1,0,nm1405546,James Hobson,"(70 episodes, 1955-1982)",,"producer (44 episodes, 1962-1982)",male,[]
1971,tt0047749,The Lawrence Welk Show,(1955–1982),"
Family, Music            ",1,0,nm1487377,Sam Lutz,,,"executive producer (45 episodes, 1955-1982)",mostly_male,[]
1971,tt0047749,The Lawrence Welk Show,(1955–1982),"
Family, Music            ",1,0,nm1476594,Jack Imel,,,"associate producer (4 episodes, 1971-1978)",male,[]
1972,tt0047749,The Lawrence Welk Show,(1955–1982),"
Family, Music            ",1,0,nm1405546,James Hobson,"(70 episodes, 1955-1982)",,"producer (44 episodes, 1962-1982)",male,[]
1972,tt0047749,The Lawrence Welk Show,(1955–1982),"
Family, Music            ",1,0,nm1487377,Sam Lutz,,,"executive producer (45 episodes, 1955-1982)",mostly_male,[]
1972,tt0047749,The Lawrence Welk Show,(1955–1982),"
Family, Music            ",1,0,nm1476594,Jack Imel,,,"associate producer (4 episodes, 1971-1978)",male,[]
1973,tt0047749,The Lawrence Welk Show,(1955–1982),"
Family, Music            ",1,0,nm1405546,James Hobson,"(70 episodes, 1955-1982)",,"producer (44 episodes, 1962-1982)",male,[]
1973,tt0047749,The Lawrence Welk Show,(1955–1982),"
Family, Music            ",1,0,nm1487377,Sam Lutz,,,"executive producer (45 episodes, 1955-1982)",mostly_male,[]
1973,tt0047749,The Lawrence Welk Show,(1955–1982),"
Family, Music            ",1,0,nm1476594,Jack Imel,,,"associate producer (4 episodes, 1971-1978)",male,[]
1974,tt0047749,The Lawrence Welk Show,(1955–1982),"
Family, Music            ",1,0,nm1405546,James Hobson,"(70 episodes, 1955-1982)",,"producer (44 episodes, 1962-1982)",male,[]
1974,tt0047749,The Lawrence Welk Show,(1955–1982),"
Family, Music            ",1,0,nm1487377,Sam Lutz,,,"executive producer (45 episodes, 1955-1982)",mostly_male,[]
1974,tt0047749,The Lawrence Welk Show,(1955–1982),"
Family, Music            ",1,0,nm1476594,Jack Imel,,,"associate producer (4 episodes, 1971-1978)",male,[]
1975,tt0047749,The Lawrence Welk Show,(1955–1982),"
Family, Music            ",1,0,nm1405546,James Hobson,"(70 episodes, 1955-1982)",,"producer (44 episodes, 1962-1982)",male,[]
1975,tt0047749,The Lawrence Welk Show,(1955–1982),"
Family, Music            ",1,0,nm1487377,Sam Lutz,,,"executive producer (45 episodes, 1955-1982)",mostly_male,[]
1975,tt0047749,The Lawrence Welk Show,(1955–1982),"
Family, Music            ",1,0,nm1476594,Jack Imel,,,"associate producer (4 episodes, 1971-1978)",male,[]
1976,tt0047749,The Lawrence Welk Show,(1955–1982),"
Family, Music            ",1,0,nm1405546,James Hobson,"(70 episodes, 1955-1982)",,"producer (44 episodes, 1962-1982)",male,[]
1976,tt0047749,The Lawrence Welk Show,(1955–1982),"
Family, Music            ",1,0,nm1487377,Sam Lutz,,,"executive producer (45 episodes, 1955-1982)",mostly_male,[]
1976,tt0047749,The Lawrence Welk Show,(1955–1982),"
Family, Music            ",1,0,nm1476594,Jack Imel,,,"associate producer (4 episodes, 1971-1978)",male,[]
1977,tt0047749,The Lawrence Welk Show,(1955–1982),"
Family, Music            ",1,0,nm1405546,James Hobson,"(70 episodes, 1955-1982)",,"producer (44 episodes, 1962-1982)",male,[]
1977,tt0047749,The Lawrence Welk Show,(1955–1982),"
Family, Music            ",1,0,nm1487377,Sam Lutz,,,"executive producer (45 episodes, 1955-1982)",mostly_male,[]
1977,tt0047749,The Lawrence Welk Show,(1955–1982),"
Family, Music            ",1,0,nm1476594,Jack Imel,,,"associate producer (4 episodes, 1971-1978)",male,[]
1978,tt0047749,The Lawrence Welk Show,(1955–1982),"
Family, Music            ",1,0,nm1405546,James Hobson,"(70 episodes, 1955-1982)",,"producer (44 episodes, 1962-1982)",male,[]
1978,tt0047749,The Lawrence Welk Show,(1955–1982),"
Family, Music            ",1,0,nm1487377,Sam Lutz,,,"executive producer (45 episodes, 1955-1982)",mostly_male,[]
1978,tt0047749,The Lawrence Welk Show,(1955–1982),"
Family, Music            ",1,0,nm1476594,Jack Imel,,,"associate producer (4 episodes, 1971-1978)",male,[]
1979,tt0047749,The Lawrence Welk Show,(1955–1982),"
Family, Music            ",1,0,nm1405546,James Hobson,"(70 episodes, 1955-1982)",,"producer (44 episodes, 1962-1982)",male,[]
1979,tt0047749,The Lawrence Welk Show,(1955–1982),"
Family, Music            ",1,0,nm1487377,Sam Lutz,,,"executive producer (45 episodes, 1955-1982)",mostly_male,[]
1980,tt0047749,The Lawrence Welk Show,(1955–1982),"
Family, Music            ",1,0,nm1405546,James Hobson,"(70 episodes, 1955-1982)",,"producer (44 episodes, 1962-1982)",male,[]
1980,tt0047749,The Lawrence Welk Show,(1955–1982),"
Family, Music            ",1,0,nm1487377,Sam Lutz,,,"executive producer (45 episodes, 1955-1982)",mostly_male,[]
1981,tt0047749,The Lawrence Welk Show,(1955–1982),"
Family, Music            ",1,0,nm1405546,James Hobson,"(70 episodes, 1955-1982)",,"producer (44 episodes, 1962-1982)",male,[]
1981,tt0047749,The Lawrence Welk Show,(1955–1982),"
Family, Music            ",1,0,nm1487377,Sam Lutz,,,"executive producer (45 episodes, 1955-1982)",mostly_male,[]
1982,tt0047749,The Lawrence Welk Show,(1955–1982),"
Family, Music            ",1,0,nm1405546,James Hobson,"(70 episodes, 1955-1982)",,"producer (44 episodes, 1962-1982)",male,[]
1982,tt0047749,The Lawrence Welk Show,(1955–1982),"
Family, Music            ",1,0,nm1407316,Bernice McGeehan,,(-1982) (unknown episodes),,female,[]
1982,tt0047749,The Lawrence Welk Show,(1955–1982),"
Family, Music            ",1,0,nm1487377,Sam Lutz,,,"executive producer (45 episodes, 1955-1982)",mostly_male,[]
